VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",FRA,France,2018,2018,46537.5,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",FRA,France,2019,2019,48971.1,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",FRA,France,2020,2020,46858.2,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2005,2005,31794.1,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2006,2006,34160.3,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2007,2007,36287.5,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2008,2008,37802.4,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2009,2009,36815.8,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2010,2010,38952.7,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2011,2011,42541.5,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2012,2012,43359.6,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2013,2013,44993.9,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2014,2014,47011.6,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2015,2015,47609.8,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2016,2016,50579.7,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2017,2017,53071.5,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2018,2018,55235.4,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2019,2019,55652.9,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",DEU,Germany,2020,2020,54844.5,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",GRC,Greece,2005,2005,25577.5,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",GRC,Greece,2006,2006,28549.2,,
