VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2006,2006,82376.5,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2007,2007,82266.4,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2008,2008,82110.1,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2009,2009,81902.3,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2010,2010,81776.9,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2011,2011,80275,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2012,2012,80425.8,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2013,2013,80645.6,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2014,2014,80982.5,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2015,2015,81686.6,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2016,2016,82348.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2017,2017,82657,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2018,2018,82905.8,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2019,2019,83093,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,DEU,Germany,2020,2020,83160.9,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2005,2005,10987.3,,
